Date,Open,High,Low,Close,Adj Close,Volume
2010-02-24,41.740002,42.009998,41.529999,41.529999,41.529999,59800
2010-02-25,40.810001,41.720001,40.730000,41.669998,41.669998,41500
2010-02-26,41.720001,41.880001,41.709999,41.880001,41.880001,4400
2010-03-01,42.439999,42.439999,42.439999,42.439999,42.439999,100
2010-03-02,42.750000,42.810001,42.750000,42.810001,42.810001,200
2010-03-03,43.320000,43.320000,43.320000,43.320000,43.320000,100
2010-03-04,42.610001,42.630001,42.610001,42.630001,42.630001,2400
2010-03-05,43.270000,43.439999,43.270000,43.439999,43.439999,1400
2010-03-08,43.369999,43.369999,43.369999,43.369999,43.369999,1200
2010-03-09,43.970001,44.150002,43.970001,44.060001,44.060001,1400
2010-03-10,44.230000,44.349998,44.029999,44.029999,44.029999,1400
2010-03-11,null,null,null,null,null,null
2010-03-12,44.310001,44.310001,44.310001,44.310001,44.310001,100
2010-03-15,43.560001,43.560001,43.560001,43.560001,43.560001,1200
2010-03-16,43.939999,43.939999,43.939999,43.939999,43.939999,1200
2010-03-17,44.209999,44.209999,44.090000,44.090000,44.090000,2500
2010-03-18,null,null,null,null,null,null
2010-03-19,43.439999,43.439999,43.439999,43.439999,43.439999,200
2010-03-22,null,null,null,null,null,null
2010-03-23,null,null,null,null,null,null
2010-03-24,43.419998,43.419998,43.380001,43.380001,43.380001,1300
2010-03-25,43.470001,43.470001,43.470001,43.470001,43.470001,300
2010-03-26,43.029999,43.029999,43.029999,43.029999,43.029999,1200
2010-03-29,43.810001,43.810001,43.810001,43.810001,43.810001,100
2010-03-30,null,null,null,null,null,null
2010-03-31,44.049999,44.049999,43.990002,43.990002,43.990002,1300
2010-04-01,44.720001,44.720001,44.549999,44.549999,44.549999,1300
2010-04-05,44.840000,44.860001,44.840000,44.860001,44.860001,2500
2010-04-06,45.000000,45.000000,45.000000,45.000000,45.000000,100
2010-04-07,null,null,null,null,null,null
2010-04-08,45.150002,45.150002,45.150002,45.150002,45.150002,100
2010-04-09,44.990002,44.990002,44.990002,44.990002,44.990002,100
2010-04-12,null,null,null,null,null,null
2010-04-13,44.470001,44.470001,44.470001,44.470001,44.470001,100
2010-04-14,44.580002,44.680000,44.580002,44.680000,44.680000,200
2010-04-15,44.400002,44.400002,44.380001,44.380001,44.380001,2400
2010-04-16,43.599998,43.599998,43.599998,43.599998,43.599998,1200
2010-04-19,43.419998,43.439999,43.340000,43.439999,43.439999,2500
2010-04-20,43.799999,43.799999,43.799999,43.799999,43.799999,44700
2010-04-22,43.130001,43.689999,43.130001,43.689999,43.689999,700
2010-04-23,43.709999,43.709999,43.709999,43.709999,43.709999,100
