,uk,mexico,japan,korea,thailand,switzerland,us,Directional FROM others
uk,47.90971852864849,7.433728259469774,2.479124473232315,2.613408945817115,2.3698106697810113,21.60920244784603,15.585006675205257,52.09028147135151
mexico,8.874071784383759,62.98509356502123,2.3560714962100877,1.8724376603254025,1.5061673296108822,5.917478360283655,16.48867980416498,37.01490643497877
japan,6.825965723656381,5.482039309863831,60.715356981911754,6.88631601883741,3.0673070176315185,6.733014356713615,10.290000591385514,39.284643018088275
korea,5.173698347308157,4.1140270704325435,5.992750219478933,66.75089034577532,3.5692831464042416,6.192378928343927,8.206971942256885,33.249109654224696
thailand,4.813753835393289,3.7889569678497854,2.4975339631315885,3.2460376244184683,76.62712152622002,4.441189191898212,4.585406891088644,23.37287847377999
switzerland,23.492786834184376,4.992672301906519,2.888599663303954,2.7805364376891517,2.386279186535658,49.60146456782431,13.857661008556049,50.39853543217572
us,14.060381107257838,12.081502212206239,2.8472978128864885,1.786757312007544,2.1161618861391136,11.799239450191948,55.30866021931082,44.69133978068918
Directional TO others,63.24065763218379,37.89292612172869,19.061377628243363,19.185493999095087,15.01500923610243,56.69250273527739,69.01372691265733,
Directional TO including own,111.15037616083228,100.87801968674992,79.77673461015512,85.9363843448704,91.64213076232245,106.2939673031017,124.32238713196816,
Total spillover index,40.01452775218401,40.01452775218401,40.01452775218401,40.01452775218401,40.01452775218401,40.01452775218401,40.01452775218401,40.01452775218401
