,india,uk,mexico,japan,korea,thailand,switzerland,china,us,Directional FROM others
india,66.25029648768364,5.6164407534203935,5.174814183545935,3.920101330768031,6.130200605666481,4.902299025547444,3.1094343848477872,1.717227054226233,3.179186174294043,33.74970351231636
uk,0.5928471284076147,45.80255943481772,8.666035549529743,3.621809202625501,2.31407387586643,3.041687178169362,21.133700835389984,0.7566860269921005,14.070600768201555,54.19744056518228
mexico,4.195872947863599,7.496750384911917,49.79159443710899,5.243606513863981,5.351244132693814,4.518585980342707,5.910199058434519,1.4486211576712549,16.043525387109216,50.20840556289101
japan,0.2941362259600821,0.7983606826299351,1.4447598539385191,85.07390390068234,7.707987004381121,0.3703993390344029,1.4499721561639995,1.0353838624631506,1.8250969747464436,14.926096099317661
korea,0.7286699332533472,0.6363847920729373,0.2202984023596036,1.0309440011312656,91.93732588173995,1.8705427540960071,1.6738959057448564,1.681153467455486,0.22078486214654425,8.062674118260048
thailand,0.47324324315610206,0.7840670488184343,0.15562779526697798,0.533321840532735,0.6639875202226475,95.30036153674382,0.5440153824211613,1.3967448620504361,0.14863077078767103,4.6996384632561785
switzerland,0.8598618587673064,2.725796730768481,0.628191565607385,0.40821248302735247,1.230472101010529,0.21916679089922061,89.28799486472742,1.6601456504478986,2.9801579547444104,10.712005135272577
china,0.7010721066814692,0.9875255630604185,0.47379661130453204,0.3007218911867923,0.2823661585265453,0.2835678016962456,0.6694597186577625,95.78489264518788,0.5165975036983599,4.215107354812119
us,0.24936677091771794,7.409025618387455,1.1664737216132128,4.5416803923257465,4.209229793299659,0.8425677097569997,4.55240207629146,0.06413853579546962,76.96511538161229,23.034884618387707
Directional TO others,25.654633297309132,27.7430889911123,32.278407879725094,-4.674301556143746,-19.82688707340718,-11.349178116286225,-28.331074382678963,-5.544993262289907,-15.949695777340537,-103.80595542969593
Total Spillover Index,33.756217269966214,33.756217269966214,33.756217269966214,33.756217269966214,33.756217269966214,33.756217269966214,33.756217269966214,33.756217269966214,33.756217269966214,33.756217269966214
