,philippines,singapore,india,uk,mexico,japan,vietnam,korea,thailand,brazil,malaysia,switzerland,china,russia,us,Directional FROM others
philippines,83.9747765447905,0.5899409786019748,1.8074913750604247,1.1313063076818397,0.7862298070539154,0.3721711967945761,1.3225966737923343,1.4793981844881154,0.5378428941712728,1.1835931934767274,0.3973605181162536,1.8239159321453091,0.129065923808002,0.5091090200561045,3.95520144996266,16.0252234552095
singapore,0.7183247649408331,90.4300658448466,0.32167735839431755,2.181518054789018,0.710785642503445,1.7455389057834416,0.29113199508836446,1.7177163077593243,0.31473837188926107,0.017251900609220015,0.01557968692186416,0.6454285713566458,0.19345862549502163,0.0017049644024134327,0.6950790052202164,9.569934155153405
india,2.233110635728617,1.3155483363670473,84.07971091813094,0.47578721906625127,0.18717127981414156,0.279182043012428,0.520327014222562,1.950821753442551,0.7337993158886423,0.4786636201286214,0.019922302077345737,1.2524404265629554,1.5082271255713111,0.7448756895801933,4.220412320406401,15.920289081869058
uk,0.20255013958193732,0.8792017120997155,0.2557287542318738,67.70532305982123,0.913764848382091,0.23577620690910733,0.41977325438638535,0.4440449154482654,2.1443773799418153,0.22961528108246804,0.6961930072389395,19.229043187728966,0.3295165662989202,3.6651347154542444,2.6499569713940447,32.294676940178775
mexico,0.037472180800274375,1.0788390651445348,0.27597478651944896,0.3709219414703876,90.31490670268485,0.09306203575866387,0.22125806710754314,0.687480689749928,1.008985720309127,0.09752784365050522,0.06407987748207904,2.7500073574777977,0.7529069053117355,1.0051629737592898,1.2414138527738476,9.685093297315149
japan,0.09236399093162996,0.282292992272214,0.07249509175597568,0.8154076153139841,0.1972795165153599,89.03534315200449,0.2307842422567511,2.21469171281697,1.4531048147922272,0.33855038024046874,1.5539030540048426,0.14519409679692596,0.2854824596905579,1.363266841683166,1.9198400389244226,10.964656847995514
vietnam,0.5861675184413025,0.1664323170249823,0.04538997576125433,0.5993407444990292,0.5008047936250107,0.016103225036838188,91.60557325071345,0.7471570427942568,0.25036622125315505,0.42032213019237846,0.5946932732093659,1.5038609520069854,0.2754433971938396,0.026305112836923168,2.662040045411241,8.394426749286552
korea,0.903880017597305,0.0775072611206792,0.4405900463776235,0.05167076040727038,0.21089345614897595,0.9145724018275011,0.3303920127269581,93.58363043158846,0.5621254238706647,0.10782223971367423,0.8835186656195635,0.3676913467443332,0.7567670828706512,0.6961218438414912,0.11281700954482062,6.41636956841154
thailand,0.011757717862044983,0.40093952184685666,0.2143688636658829,0.3700523783260532,0.024197144000585178,0.18412137266854586,0.24713372068319375,0.007953662042755308,94.60423247780949,0.521525699165915,1.8066431190977543,0.8618233092542023,0.19999355081476047,0.5147865524415857,0.030470910320378818,5.395767522190511
brazil,0.22842224856042928,0.19524863594417843,0.2567975842092724,0.06532132158265729,0.008262442124660567,0.0808268513088457,0.31872796982378865,0.09733824448259093,0.08129538735873028,94.21434613574203,0.20667177294326355,0.6254281436805877,0.3178976543310712,0.5591746236491391,2.744240984258756,5.7856538642579665
malaysia,0.17800501322421416,0.22420263890158948,0.14302177193923724,0.07391757296553078,0.37150198741676926,0.019194737939211528,0.7641909794831887,0.0549615651457011,0.1707223014373691,0.5660724263258545,96.18228643653705,0.40604271231718375,0.09451879226410347,0.17256338196948018,0.578797682133511,3.817713563462945
switzerland,0.6136236803994535,0.213847530848973,0.3973611242661743,1.5368525920939413,0.9981951973644243,1.3695552845044212,5.045962023514069,0.13369564262901815,0.24697885962398688,0.02318055200374197,0.08969985096273801,84.94773901106342,0.24868613316608615,0.3330160316555604,3.801606485903978,15.052260988936581
china,0.18094350579641363,0.2782343635125778,1.1535689642197422,0.058459584492003135,0.592842905299117,0.0074801785414432345,0.6659871539332609,1.8255350703608841,0.3215807385898973,0.19143025551482545,0.06273186201458517,0.03386458755696461,92.74754607843512,0.3967357791817741,1.4830589725514014,7.252453921564879
russia,0.14756713072045946,1.3320857612127934,0.5064777493302715,0.6940521547928682,0.033662661571121605,0.5113977300014712,0.1525196446610534,0.4086075503705495,2.2626698556768887,0.2567398793472458,0.07680281711196524,1.0011307044377433,0.5806058553834424,91.95434050023638,0.08134000514574188,8.045659499763616
us,0.29477968016140926,0.6794595406647195,0.14557776416670198,4.989824551615476,0.697370958798572,0.11279313585453811,0.37104201596791486,1.519081691072474,1.0060069365339022,2.8614073828963646,0.34886943027820805,4.481256958615413,0.10193111843285219,1.0805445923124914,81.31005424262896,18.689945757371035
Directional TO others,9.596255230463186,1.856153499590576,9.88376787197086,18.88024414108247,3.4521306566969514,5.022881542054492,-2.507400018360812,-6.872114464191839,-5.698826699146451,-1.5080489200900473,-2.998955673615825,-20.074867297745428,1.4779527309325147,-3.0228426230602423,-7.486329976580379,-73.31012521296702
Total Spillover Index,18.220675014197802,18.220675014197802,18.220675014197802,18.220675014197802,18.220675014197802,18.220675014197802,18.220675014197802,18.220675014197802,18.220675014197802,18.220675014197802,18.220675014197802,18.220675014197802,18.220675014197802,18.220675014197802,18.220675014197802,18.220675014197802
